t_ns,t_s,utm_easting,utm_northing,altitude,hdop,latitude,longitude,zone,letter
1770478029879435041,159.84935407900002,331231.9294826258,4687771.611414191,16.3,0.8,42.323905,-71.04820666666667,19,T
1770478030879146242,160.84906528000002,331231.792147124,4687771.614721255,16.2,0.8,42.323905,-71.04820833333333,19,T
1770478031880730737,161.85064977500002,331231.6503551009,4687771.432958513,16.1,0.8,42.323903333333334,-71.04821,19,T
1770478032874749821,162.84466885900002,331231.6503551009,4687771.432958513,16.2,0.8,42.323903333333334,-71.04821,19,T
1770478033877137928,163.847056966,331231.6503551009,4687771.432958513,16.2,0.8,42.323903333333334,-71.04821,19,T
1770478034874453523,164.844372561,331231.6503551009,4687771.432958513,16.2,0.8,42.323903333333334,-71.04821,19,T
1770478035874301086,165.844220124,331231.64589858195,4687771.247888705,16.2,0.8,42.323901666666664,-71.04821,19,T
1770478036874404437,166.844323475,331231.64589858195,4687771.247888705,16.2,0.8,42.323901666666664,-71.04821,19,T
1770478037876228006,167.84614704400002,331231.64589858195,4687771.247888705,16.2,0.8,42.323901666666664,-71.04821,19,T
1770478038874433716,168.844352754,331231.64589858195,4687771.247888705,16.1,0.8,42.323901666666664,-71.04821,19,T
1770478039879328148,169.849247186,331231.508563075,4687771.251195773,16.1,0.8,42.323901666666664,-71.04821166666666,19,T
1770478040882077921,170.85199695900002,331231.508563075,4687771.251195773,16.1,0.8,42.323901666666664,-71.04821166666666,19,T
1770478041879343065,171.849262103,331231.3712275638,4687771.254502844,16.0,0.8,42.323901666666664,-71.04821333333334,19,T
1770478042879716445,172.84963548300001,331231.3712275638,4687771.254502844,16.0,0.8,42.323901666666664,-71.04821333333334,19,T
1770478043882101768,173.852020806,331231.3712275638,4687771.254502844,16.0,0.8,42.323901666666664,-71.04821333333334,19,T
1770478044879828426,174.84974746400002,331231.3667710377,4687771.069433036,16.0,0.8,42.3239,-71.04821333333334,19,T
1770478045882607647,175.85252668500002,331231.3667710377,4687771.069433036,16.0,0.8,42.3239,-71.04821333333334,19,T
1770478046874014947,176.843933985,331231.50410655246,4687771.066125966,16.3,0.78,42.3239,-71.04821166666666,19,T
1770478047881810362,177.8517294,331231.64144206303,4687771.062818897,16.6,0.8,42.3239,-71.04821,19,T
1770478048876585247,178.846504285,331231.6369855443,4687770.877749088,16.8,0.8,42.32389833333333,-71.04821,19,T
1770478049886003078,179.85592211600002,331231.6369855443,4687770.877749088,17.0,0.8,42.32389833333333,-71.04821,19,T
1770478050882389142,180.85230818000002,331231.7743210627,4687770.874442022,17.1,0.8,42.32389833333333,-71.04820833333333,19,T
1770478051882435556,181.85235459400002,331231.76986454776,4687770.689372216,17.2,0.8,42.32389666666667,-71.04820833333333,19,T
1770478052879500977,182.84942001500002,331231.76986454776,4687770.689372216,17.3,0.8,42.32389666666667,-71.04820833333333,19,T
1770478053874313762,183.84423280000001,331231.76986454776,4687770.689372216,17.4,0.8,42.32389666666667,-71.04820833333333,19,T
1770478054874181884,184.84410092200002,331231.76540803286,4687770.504302408,17.4,0.8,42.323895,-71.04820833333333,19,T
1770478055875491317,185.845410355,331231.76540803286,4687770.504302408,17.6,0.8,42.323895,-71.04820833333333,19,T
1770478056874134244,186.844053282,331231.76540803286,4687770.504302408,17.7,0.8,42.323895,-71.04820833333333,19,T
1770478057877289226,187.84720826400002,331231.76540803286,4687770.504302408,17.8,0.8,42.323895,-71.04820833333333,19,T
1770478058874396839,188.844315877,331231.76540803286,4687770.504302408,17.9,0.8,42.323895,-71.04820833333333,19,T
1770478059879477702,189.84939674,331231.76540803286,4687770.504302408,18.0,0.8,42.323895,-71.04820833333333,19,T
1770478060880156949,190.85007598700003,331231.9027435564,4687770.5009953445,18.2,0.8,42.323895,-71.04820666666667,19,T
1770478061880964533,191.85088357100003,331231.9027435564,4687770.5009953445,18.3,0.8,42.323895,-71.04820666666667,19,T
1770478062880318930,192.85023796800002,331231.9027435564,4687770.5009953445,18.4,0.8,42.323895,-71.04820666666667,19,T
1770478063885001688,193.85492072600002,331231.9027435564,4687770.5009953445,18.5,0.8,42.323895,-71.04820666666667,19,T
1770478064882477183,194.85239622100002,331231.9027435564,4687770.5009953445,18.6,0.8,42.323895,-71.04820666666667,19,T
1770478065882359676,195.85227871400002,331231.9027435564,4687770.5009953445,18.7,0.8,42.323895,-71.04820666666667,19,T
1770478066879514455,196.84943349300002,331231.9027435564,4687770.5009953445,18.7,0.85,42.323895,-71.04820666666667,19,T
1770478067879003598,197.84892263600003,331231.9027435564,4687770.5009953445,18.8,0.8,42.323895,-71.04820666666667,19,T
1770478068879416653,198.84933569100002,331231.8982870454,4687770.315925537,18.9,0.85,42.32389333333333,-71.04820666666667,19,T
1770478069880180665,199.850099703,331232.0356225746,4687770.312618476,19.0,0.8,42.32389333333333,-71.048205,19,T
